frame_counter,prob_free,prob_left,prob_right,prob_blocked,direction,force,rot_force,rot_force_p_component,rot_force_d_component,n_frames_stuck,exploration
223,0.271,0.016,0.449,0.264,FWRD,0.3,0.0,0.0,0.0,0,False
224,0.625,0.012,0.242,0.121,FWRD,0.3,0.0,0.0,0.0,0,False
225,0.303,0.016,0.52,0.161,FWRD,0.3,0.0,0.0,0.0,0,False
226,0.092,0.036,0.827,0.044,RGHT,0.16,0.157,0.142,0.014,1,False
227,0.513,0.03,0.417,0.04,FWRD,0.3,0.0,0.0,0.0,0,False
228,0.266,0.053,0.115,0.566,FWRD,0.3,0.0,0.0,0.0,0,False
229,0.323,0.101,0.181,0.394,FWRD,0.3,0.0,0.0,0.0,0,False
230,0.751,0.041,0.009,0.2,FWRD,0.3,0.0,0.0,0.0,0,False
231,0.814,0.026,0.027,0.134,FWRD,0.3,0.0,0.0,0.0,0,False
232,0.621,0.126,0.078,0.175,FWRD,0.3,0.0,0.0,0.0,0,False
233,0.707,0.13,0.048,0.115,FWRD,0.3,0.0,0.0,0.0,0,False
234,0.562,0.225,0.02,0.194,FWRD,0.3,0.0,0.0,0.0,0,False
235,0.698,0.245,0.021,0.036,FWRD,0.3,0.0,0.0,0.0,0,False
236,0.287,0.642,0.026,0.045,FWRD,0.3,0.0,0.0,0.0,0,False
237,0.571,0.41,0.006,0.013,FWRD,0.3,0.0,0.0,0.0,0,False
238,0.413,0.571,0.008,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
239,0.352,0.627,0.01,0.011,FWRD,0.3,0.0,0.0,0.0,0,False
240,0.441,0.541,0.009,0.009,FWRD,0.3,0.0,0.0,0.0,0,False
241,0.349,0.598,0.02,0.033,FWRD,0.3,0.0,0.0,0.0,0,False
242,0.075,0.917,0.005,0.003,LEFT,0.18,-0.181,-0.164,-0.017,1,False
243,0.339,0.612,0.026,0.023,FWRD,0.3,0.0,0.0,0.0,0,False
244,0.501,0.471,0.02,0.009,FWRD,0.3,0.0,0.0,0.0,0,False
245,0.187,0.785,0.014,0.014,LEFT,0.15,-0.155,-0.139,-0.016,1,False
246,0.198,0.764,0.013,0.026,LEFT,0.13,-0.134,-0.135,0.001,2,False
247,0.177,0.817,0.004,0.002,LEFT,0.15,-0.149,-0.146,-0.003,3,False
248,0.26,0.72,0.012,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
249,0.284,0.632,0.054,0.031,FWRD,0.3,0.0,0.0,0.0,0,False
250,0.533,0.438,0.025,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
251,0.315,0.642,0.033,0.009,FWRD,0.3,0.0,0.0,0.0,0,False
252,0.17,0.815,0.012,0.004,LEFT,0.15,-0.154,-0.145,-0.01,1,False
253,0.56,0.389,0.047,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
254,0.408,0.572,0.015,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
255,0.298,0.648,0.043,0.011,FWRD,0.3,0.0,0.0,0.0,0,False
256,0.355,0.627,0.016,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
257,0.531,0.445,0.019,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
258,0.875,0.104,0.018,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
259,0.597,0.298,0.071,0.033,FWRD,0.3,0.0,0.0,0.0,0,False
260,0.548,0.357,0.079,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
261,0.856,0.078,0.061,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
262,0.918,0.055,0.026,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
263,0.975,0.005,0.02,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
264,0.986,0.006,0.007,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
265,0.846,0.032,0.11,0.012,FWRD,0.3,0.0,0.0,0.0,0,False
266,0.734,0.025,0.232,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
267,0.82,0.017,0.112,0.05,FWRD,0.3,0.0,0.0,0.0,0,False
268,0.827,0.013,0.144,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
269,0.663,0.019,0.238,0.081,FWRD,0.3,0.0,0.0,0.0,0,False
270,0.7,0.01,0.166,0.124,FWRD,0.3,0.0,0.0,0.0,0,False
271,0.859,0.004,0.127,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
272,0.776,0.019,0.117,0.089,FWRD,0.3,0.0,0.0,0.0,0,False
273,0.794,0.023,0.101,0.081,FWRD,0.3,0.0,0.0,0.0,0,False
274,0.883,0.012,0.03,0.075,FWRD,0.3,0.0,0.0,0.0,0,False
275,0.91,0.007,0.073,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
276,0.837,0.023,0.125,0.015,FWRD,0.3,0.0,0.0,0.0,0,False
277,0.885,0.018,0.078,0.019,FWRD,0.3,0.0,0.0,0.0,0,False
278,0.906,0.013,0.056,0.025,FWRD,0.3,0.0,0.0,0.0,0,False
279,0.83,0.03,0.093,0.047,FWRD,0.3,0.0,0.0,0.0,0,False
280,0.795,0.015,0.053,0.138,FWRD,0.3,0.0,0.0,0.0,0,False
281,0.811,0.02,0.08,0.089,FWRD,0.3,0.0,0.0,0.0,0,False
282,0.754,0.026,0.11,0.111,FWRD,0.3,0.0,0.0,0.0,0,False
283,0.813,0.017,0.154,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
284,0.62,0.013,0.3,0.067,FWRD,0.3,0.0,0.0,0.0,0,False
285,0.434,0.015,0.522,0.028,FWRD,0.3,0.0,0.0,0.0,0,False
286,0.291,0.017,0.582,0.11,FWRD,0.3,0.0,0.0,0.0,0,False
287,0.251,0.011,0.688,0.051,FWRD,0.3,0.0,0.0,0.0,0,False
288,0.063,0.027,0.78,0.131,RGHT,0.14,0.139,0.135,0.004,1,False
289,0.006,0.016,0.466,0.511,RGHT,0.07,0.066,0.081,-0.015,2,False
290,0.068,0.008,0.23,0.693,RGHT,0.03,0.029,0.04,-0.011,3,False
291,0.026,0.002,0.01,0.962,LEFT,0.01,-0.009,0.001,-0.011,4,False
292,0.739,0.026,0.148,0.086,FWRD,0.3,0.0,0.0,0.0,0,False
293,0.929,0.01,0.046,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
294,0.834,0.026,0.129,0.011,FWRD,0.3,0.0,0.0,0.0,0,False
295,0.587,0.127,0.132,0.154,FWRD,0.3,0.0,0.0,0.0,0,False
296,0.552,0.085,0.121,0.242,FWRD,0.3,0.0,0.0,0.0,0,False
297,0.678,0.22,0.035,0.066,FWRD,0.3,0.0,0.0,0.0,0,False
298,0.87,0.068,0.044,0.018,FWRD,0.3,0.0,0.0,0.0,0,False
299,0.928,0.022,0.04,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
300,0.954,0.017,0.025,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
301,0.752,0.037,0.168,0.043,FWRD,0.3,0.0,0.0,0.0,0,False
302,0.868,0.019,0.079,0.034,FWRD,0.3,0.0,0.0,0.0,0,False
303,0.94,0.019,0.024,0.017,FWRD,0.3,0.0,0.0,0.0,0,False
304,0.163,0.204,0.271,0.362,RGHT,0.02,0.015,0.012,0.003,1,False
305,0.002,0.135,0.019,0.844,LEFT,0.03,-0.03,-0.021,-0.009,2,False
306,0.004,0.455,0.096,0.444,LEFT,0.08,-0.077,-0.065,-0.012,3,False
307,0.001,0.488,0.311,0.201,LEFT,0.02,-0.023,-0.032,0.009,4,False
308,0.003,0.543,0.342,0.112,LEFT,0.04,-0.037,-0.036,-0.001,5,False
309,0.011,0.109,0.869,0.011,RGHT,0.18,0.185,0.137,0.048,6,False
310,0.171,0.188,0.597,0.044,RGHT,0.06,0.056,0.074,-0.018,7,False
311,0.014,0.369,0.202,0.414,LEFT,0.06,-0.059,-0.03,-0.029,8,False
312,0.005,0.275,0.552,0.168,RGHT,0.07,0.072,0.05,0.022,9,False
313,0.007,0.329,0.233,0.43,LEFT,0.04,-0.036,-0.017,-0.019,10,False
